YYYY-MM-DD,   TG,  RHX,   UG
2018-01-01,68,17,83
2018-01-02,70,13,86
2018-01-03,86,55,75
2018-01-04,82,3,80
2018-01-05,61,31,87
2018-01-06,45,0,87
2018-01-07,14,0,76
2018-01-08,8,0,78
2018-01-09,26,0,89
2018-01-10,67,3,93
2018-01-11,45,0,98
2018-01-12,53,0,93
2018-01-13,41,0,90
2018-01-14,29,0,84
2018-01-15,55,36,88
2018-01-16,57,18,74
2018-01-17,52,4,69
2018-01-18,52,22,82
2018-01-19,47,6,76
2018-01-20,34,11,86
2018-01-21,41,7,80
2018-01-22,65,4,87
2018-01-23,79,7,89
2018-01-24,108,19,88
2018-01-25,75,0,87
2018-01-26,48,-1,94
2018-01-27,48,5,89
2018-01-28,99,0,89
2018-01-29,89,16,83
2018-01-30,41,0,87
2018-01-31,70,14,82
2018-01-32,47,30,81
2018-01-33,43,7,86
2018-01-34,20,15,91
2018-01-35,22,-1,79
2018-01-36,15,0,79
2018-01-37,-18,0,79
2018-01-38,-14,0,78
2018-01-39,17,0,79
2018-01-40,7,3,87
2018-01-41,33,6,86
2018-01-42,52,23,77
2018-01-43,34,5,75
2018-01-44,23,0,74
2018-01-45,22,6,70
2018-01-46,52,16,88
2018-01-47,38,0,82
2018-01-48,14,0,84
2018-01-49,14,0,86
2018-01-50,23,3,87
2018-01-51,16,0,83
2018-01-52,7,0,80
2018-01-53,9,0,72
2018-01-54,-1,0,74
2018-01-55,-3,0,59
2018-01-56,-18,0,58
2018-01-57,-28,0,68
2018-01-58,-30,0,69
2018-01-59,-62,-1,71
2018-01-60,-46,0,52
2018-01-61,-34,-1,53
2018-01-62,-17,2,72
2018-01-63,45,20,82
2018-01-64,62,0,83
2018-01-65,48,-1,84
2018-01-66,49,6,91
2018-01-67,51,27,83
2018-01-68,68,7,82
2018-01-69,110,10,91
2018-01-70,89,19,95
2018-01-71,88,8,89
2018-01-72,53,10,94
2018-01-73,59,0,81
2018-01-74,67,7,81
2018-01-75,43,3,92
2018-01-76,-12,-1,62
2018-01-77,-7,0,50
2018-01-78,-4,-1,53
2018-01-79,40,1,78
2018-01-80,28,2,87
2018-01-81,58,16,94
2018-01-82,61,0,81
2018-01-83,59,0,83
2018-01-84,49,0,91
2018-01-85,44,0,92
2018-01-86,54,7,91
2018-01-87,55,26,92
2018-01-88,66,4,78
2018-01-89,86,17,80
2018-01-90,62,1,88
2018-01-91,47,2,92
2018-01-92,79,6,85
2018-01-93,118,65,84
2018-01-94,102,8,84
2018-01-95,56,6,84
2018-01-96,85,0,64
2018-01-97,132,0,69
2018-01-98,114,-1,88
2018-01-99,110,5,88
2018-01-100,142,78,82
2018-01-101,126,2,90
2018-01-102,102,5,92
2018-01-103,86,0,93
2018-01-104,106,6,83
2018-01-105,125,8,90
2018-01-106,105,1,80
2018-01-107,124,0,74
2018-01-108,169,0,66
2018-01-109,176,0,68
2018-01-110,149,0,79
2018-01-111,147,0,73
2018-01-112,167,0,67
